"dvr","ind","sp","tx"
7.94727094616171,1,"1",0
8.21115090989728,1,"1",0
7.93168507087524,1,"1",0
8.05182244541163,1,"1",0
8.06888160680445,1,"1",0
7.95047573068583,1,"1",0
7.94574801593297,1,"1",0
7.79102427147729,1,"1",0
8.06455974698079,1,"1",0
7.98454393821379,1,"1",0
8.40804748618436,1,"1",0
8.06518442449128,1,"1",0
7.79757376503457,1,"1",0
7.87198652980998,1,"1",0
7.85909236712483,1,"1",0
7.94418263631922,1,"1",0
8.05969564171068,1,"1",0
7.83737053352838,1,"1",0
7.93242445018712,1,"1",0
8.09019854482849,1,"1",0
7.99515223151289,1,"1",0
7.8492039449988,1,"1",0
8.27667947794626,1,"2",0
8.43064049613727,1,"2",0
8.58650895840338,1,"2",0
8.32196606536768,1,"2",0
8.30638814263819,1,"2",0
8.44355089878459,1,"2",0
8.44852564622313,1,"2",0
8.52297758983168,1,"2",0
8.42223670594683,1,"2",0
8.26482394044609,1,"2",0
8.41759701432854,1,"2",0
8.30493614106476,1,"2",0
8.46369555584251,1,"2",0
8.62883534938094,1,"2",0
8.5450012457466,1,"2",0
8.35662495684135,1,"2",0
8.54567348844947,1,"2",0
8.56185848253635,1,"2",0
8.66782281674233,1,"2",0
8.34825074143057,1,"2",0
8.35901061940743,1,"2",0
8.30387429315861,1,"2",0
10.1316091211271,1,"1",1
10.2298928679218,1,"1",1
10.2064694882715,1,"1",1
10.1208280648927,1,"1",1
10.1779246317203,1,"1",1
10.1985192935606,1,"1",1
10.193851279212,1,"1",1
10.2330118860653,1,"1",1
10.1851053706436,1,"1",1
10.0153663828571,1,"1",1
10.2623682827673,1,"1",1
10.1426790699221,1,"1",1
10.2161151074089,1,"1",1
10.2396723609847,1,"1",1
10.1676291727044,1,"1",1
10.1396130375751,1,"1",1
10.2801745929088,1,"1",1
10.0748661172551,1,"1",1
10.1884119063988,1,"1",1
10.1186297183484,1,"1",1
10.1796646938478,1,"1",1
10.0774185859292,1,"1",1
10.7895877201282,1,"2",1
10.6079086482955,1,"2",1
10.5554436663343,1,"2",1
10.5104430169577,1,"2",1
10.6545236036825,1,"2",1
10.6808348078445,1,"2",1
10.5738513381177,1,"2",1
10.5421120179868,1,"2",1
10.2927552230712,1,"2",1
10.6758714223739,1,"2",1
10.6845229154999,1,"2",1
10.5651684792394,1,"2",1
10.614449262078,1,"2",1
10.64566706899,1,"2",1
10.5301888917737,1,"2",1
10.7081581201968,1,"2",1
10.5345894509407,1,"2",1
10.7565930801498,1,"2",1
10.651733644453,1,"2",1
10.6439151928913,1,"2",1
10.4778429741113,1,"2",1
10.7846506327473,1,"2",1
9.01027316551067,2,"1",0
9.13097143245752,2,"1",0
9.10893492807451,2,"1",0
8.99518790435264,2,"1",0
